schema:*key,$text

dresscode_fully_nude,"No visible clothing or armor. [Inappropriate]"
dresscode_underwear_only,"Only underwear visible. [Inappropriate]"
dresscode_commoner_topless,"Lower clothes only. [Commoner - Inappropriate]"
dresscode_commoner_bottomless,"Upper clothes only. [Commoner - Inappropriate]"
dresscode_armored_topless,"Upper body exposed despite armor. [Combatant - Inappropriate]"
dresscode_armored_bottomless,"Legs exposed despite armor. [Combatant - Inappropriate]"
dresscode_commoner_full,"Fully dressed in common clothing. [Commoner - Appropriate]"
dresscode_noble_full,"Proper noble outfit with jewelry. [Noble - Appropriate]"
dresscode_armored_only,"Wearing only armor without visible clothing. [Combatant - Inappropriate]"
dresscode_battle_ready,"Equipped for battle with armor and gear. [Combatant - Appropriate]"
dresscode_religious_garb,"Religious clothing. [Clergy - Appropriate]"
dresscode_noble_indecent,"Noble outfit missing key parts. [Noble - Inappropriate]"
dresscode_noble_no_jewels,"Noble clothes without jewelry. [Noble - Inappropriate]"
dresscode_noble_battle_ready,"Noble attire with armor. [Noble - Appropriate]"
dresscode_unknown,"Unrecognized dress code state ({0}). [Inappropriate]"

dresswarning_CASTLE,"Guards eye you with suspicion. You have %d seconds to dress properly or leave this noble place."
dresswarning_SHOP,"The shopkeeper frowns at your appearance. You have %d seconds to cover yourself or get out."
dresswarning_HOUSE,"The homeowner looks shocked. You have %d seconds to dress decently or leave their home."
dresswarning_TAVERN,"Some patrons glance at you, others laugh. You have %d seconds to put on some clothes if you want to stay."
dresswarning_GROUPINTERIOR_STRICT,"This place demands proper attire. You have %d seconds to dress appropriately or face consequences."

ambient_STREET_FULLY_NUDE_M_0,"A child points at you and bursts into laughter. His mother drags him away, horrified."
ambient_STREET_FULLY_NUDE_M_1,"An old lady mutters something about 'the youth these days' and avoids eye contact."
ambient_STREET_FULLY_NUDE_M_2,"A nearby guard raises an eyebrow but does nothing. For now."
ambient_STREET_FULLY_NUDE_M_3,"A merchant drops a crate after spotting your... bold fashion choice."
